PMID	lable
23051966	2b
25149290	4
19159384	3b
25071104	2b
18071704	2b
17213825	2a
17606725	1b
18626721	2b
26597368	1a
24129941	2b
18768432	1b
23052994	1b
27750179	4
20142600	1b
32781573	2a
15471659	3a
27472273	3a
2427043	3b
21647761	2b
27186927	2b
20368569	4
21626049	2b
3085169	4
28837757	1a
8418225	2b
25237005	3a
23402902	3a
22024310	1b
11446315	4
18199514	2b
10660924	2b
27160526	3a
24924479	2b
27556957	4
12394190	3b
27306911	4
11095408	4
10715293	1b
28349496	2b
23052993	1a
17066229	4
28444084	2b
10667430	1a
18351300	4
16630403	3a
24515917	4
25083318	3b
15126525	3a
17382157	1a
27875389	1b
15737188	2b
21810220	2b
24652352	3a
16286958	2b
15794776	2a
6883294	3b
24256848	1b
31498394	2b
11483335	1a
18823042	3b
14735685	1b
27298411	1b
6185198	4
11054515	1b
11272244	4
19116709	1b
24100024	3a
26524690	3a
26586494	1b
19900803	3b
24697969	2a
9215829	4
12100834	2b
16374892	2b
15580472	1b
21166498	4
21750555	1b
17636783	3a
17227978	1b
29974455	2a
21748653	4
24162768	2a
30851171	1a
18292591	2b
19858396	2b
17211441	1a
25381189	2b
453996	3b
24112545	1b
20843937	1a
24075029	2b
20875089	3a
19101766	2b
16813885	2b
19660025	3b
22451559	2b
17241586	4
12927565	1a
6297068	1b
15286316	4
23512078	3a
26524474	1a
20615227	2b
22030019	4
25399552	1b
20525992	4
7934602	4
25769192	3a
17997011	2a
17625453	1b
21735440	1a
26287319	1b
21074065	3a
18337648	4
19064574	1b
15303499	2a
21302712	3b
18162137	1a
10348291	4
15536949	3a
28485879	1b
24769640	1b
19856029	2b
12496981	2a
20735518	3b
19910836	2b
21233014	4
15383424	2b
3574855	3b
2072144	1b
11824887	1b
8482629	2b
15790985	1b
28097179	2b
21563866	2a
21352483	2b
26595056	2a
21256809	1b
20378156	2b
18216537	2b
23109700	1b
16530933	2a
33175109	3a
26990272	2a
17922939	1b
18516531	4
19821334	1a
22315471	1b
17224266	2b
18676327	1a
19212708	2b
19617298	1a
23327196	3a
19214594	1b
9722728	2b
18309512	4
26471491	2a
23182069	3a
20035539	4
12954897	4
18838212	2b
16945120	2b
26395825	2b
19643918	4
14609482	3a
12183095	2b
26490539	2a
10588962	1a
21713779	2b
19321297	1a
23853057	2b
21125274	2b
26947879	1a
18235114	3b
27030166	1a
21878232	2b
20600809	1b
9124190	4
19092339	2b
27596353	1b
30626212	2a
29735975	2b
27307765	2a
15540734	2a
18538495	2b
15280724	4
17765406	1a
12829675	1b
23766391	2b
21721009	4
26133394	3a
27871836	3a
15767953	1a
23716015	3a
26989684	2a
10673527	2a
19307500	1b
25296968	3a
28803087	1a
16364631	3b
17306441	1a
9191523	2b
19643467	2b
20308447	3a
19646778	2b
29167300	1a
20461089	2b
20804475	3a
18959697	3b
14631356	4
22689129	1b
19817747	3a
8410122	1b
27637745	3a
20856153	2b
21708856	2a
26124485	1b
26850808	2b
8449072	1b
28095397	1b
29122249	1b
19690548	2b
15839915	2a
20690197	2b
17084558	2a
25175118	3b
21862683	2b
9323147	3b
17803548	2b
19329272	4
21294913	3b
16586078	3b
22072330	2b
6309852	2a
31520284	1b
19996224	4
28827925	2b
26839023	1b
9643663	1a
4078070	2b
27218109	2b
29698824	1b
22005064	4
8534937	2b
28741176	1a
21701183	2a
26748222	2b
28558116	1a
19826829	2b
16009748	1b
30060741	2a
11490343	1b
21356604	4
23914214	2b
26541511	3b
25439694	1b
23766141	4
3342367	4
22778321	2a
16469587	2a
10661774	4
26657901	3a
20870687	1a
17956712	1b
29077194	1a
16847468	2a
20534686	3a
19368145	1b
26791800	1b
28721886	2b
16635512	2b
21169870	3b
9065644	2b
25572618	1b
23806094	1b
26554394	4
24452673	4
29730600	1a
19217656	1a
29660577	3a
12569286	4
10799173	2a
28820514	1a
18790401	2a
20946274	1b
28885397	3a
16966688	1b
31496287	2b
29044466	1b
26433819	1a
25119122	2a
27472648	1b
24701238	1b
17683380	2b
17805582	1b
28472862	2a
29909967	4
30247950	2b
25555830	1b
25797388	2a
21263243	2b
25755684	3a
19156409	2b
29391879	2b
20924975	2b
2681823	4
23024154	1a
10796761	1a
28635153	2b
20803609	2b
25664323	2b
17033166	3b
19104452	2b
17482880	1a
12622618	2b
16826043	4
17728218	2a
17680317	3b
26682028	2b
16904052	2a
25952733	2a
916091	3a
24661317	3a
29750335	3a
24124660	3a
20526218	1b
18936314	4
11036893	1a
19349948	2b
21105000	2b
14767287	1a
27301849	1b
20818862	1a
18467316	1b
31147990	3a
22110613	1b
11458055	1a
3790922	3b
23301553	3b
31855257	1a
21317817	2b
30280453	2a
30779338	3a
23238767	2a
22214352	1b
17352022	1b
12023135	2a
28786328	1a
27225535	2a
19418067	4
22938746	1b
25553247	2b
19519890	1a
19536890	1a
11016764	3b
28488923	1a
20207007	1a
21030319	3a
17443001	1a
23890767	1b
1707746	4
17649774	4
22824168	2b
27043866	2a
30935866	2b
19998042	2b
12812135	4
26852222	2a
23218588	1b
21173691	1a
11561873	2b
18490886	1b
12131300	2a
29660577	3a
23264335	2b
16430622	1a
31094582	4
24491410	4
16750310	2a
19543324	2b
28095280	2a
26051568	1b
25113630	4
3133327	1b
23469977	3b
20422030	2b
21739303	4
28596308	3a
20671006	1a
27322597	2b
31009859	3a
3595692	4
22456429	2b
19672152	1b
21606835	2b
20513035	4
11243949	1b
28827926	2b
25010250	1b
18197136	4
21146019	2b
20368546	2b
12560426	2a
12958109	1a
19020940	2b
26095784	1a
28885397	3a
16850340	3a
29458789	1a
26782957	1b
15134985	1a
25449310	2b
24455276	3a
10643545	1b
11912387	2a
23248256	1b
27266406	3a
17499284	1a
7989226	4
11777625	2a
20194854	1b
22923259	3a
27500332	3a
22193886	2b
19747357	3a
20838706	4
2363922	4
19055335	2a
19446902	1a
21472716	3b
15389809	2b
19418101	2b
12107834	3b
20598634	1a
23414589	1b
2710950	4
17309969	2b
25035199	1b
20233294	2b
19727717	2a
27257529	2b
31150123	2a
30095168	1a
24491245	2b
15839912	2a
20947887	1b
14559886	1a
24295639	2b
17980505	3a
3106896	4
26142337	2b
15816048	2b
20100410	2b
15128893	1b
21540313	3a
20807303	2b
30952370	4
18781133	2b
16520907	2a
6748835	2b
25539369	2a
8128354	3b
10562681	2b
12182992	2b
9648790	2a
26026485	1b
26014293	1b
23341529	2a
1612904	4
18358689	1a
17572209	3a
20670857	2b
20581724	1b
28337359	2b
33175109	3a
11805589	2a
12937695	3b
15667872	2b
23728895	4
29846880	3a
21531671	2b
18809275	2b
25646530	3a
29676960	1a
16099293	1a
10918172	3a
17531401	1a
24323309	4
21395693	2b
29439690	2a
11134196	1a
26681800	1b
28968482	1a
21412144	2b
9789122	2b
25431805	2b
31081899	1b
6386762	2b
22180393	2b
29909967	4
27116334	3a
26384681	3a
25967706	2b
22735384	1b
29505525	3a
20698369	2b
26414587	2b
22888364	2b
2034244	1b
26225580	3a
24958209	4
16600713	1a
11434221	4
28671265	1a
25366584	4
9538672	3a
24559581	1a
26258808	4
20965646	2b
24004487	2b
24102023	3a
16882101	2b
9587128	2b
7827936	3b
9586887	1b
16161069	1b
30083701	2a
26748223	3a
9334624	2b
26051573	2b
18389323	2b
23117073	1a
21705947	2b
18425966	1a
19690306	1a
8347541	3b
28421677	2b
25535589	4
7082219	1a
17101584	4
19209172	1b
17333418	3b
27021482	1a
30640688	2a
16549694	3b
7118615	4
1951178	4
31086306	2a
18355899	2b
17192912	2b
25646186	1a
25762352	3b
12780833	2a
15534360	1b
25141184	2a
27042082	1a
18029918	3a
19744432	2b
17452677	1b
17196362	4
29374616	1a
21105000	2b
19553103	2b
29529165	2b
12824459	1a
28885397	3a
32349874	4
28560780	1b
17394940	2b
17596694	4
24554495	3a
18213716	3a
26874776	3a
20855467	1b
20890138	1a
26775577	3a
26601566	3a
21081714	1a
22067399	2b
26037024	1b
22258985	1a
21499862	1a
15655211	3b
17896167	4
3511081	2a
27388752	1b
24613816	1b
16939848	1b
20466113	2b
19493624	1a
24256848	1b
17550414	3a
24811213	3a
27871836	3a
25132206	1b
16793490	3a
18474451	2b
25605628	1b
21353695	1a
26646130	4
23043261	3b
16132877	1b
18048817	1a
20521985	1a
20734149	3b
17388769	2a
22253555	3b
17538164	4
17532857	3a
21948812	2b
27871836	3a
17675538	2b
16135917	2b
25440439	3a
18772659	1a
26468973	1a
26275921	2b
25977896	1a
15817332	2a
15805872	4
28346851	1b
1372942	2b
20936417	2b
1525766	3b
18206850	3b
16771791	1b
17701002	3a
16868361	2b
20837948	1b
16190089	4
23890460	1b
16751063	1b
20052471	2b
21333599	1b
9665247	4
18992248	2b
21969502	1b
18265670	4
22101452	2a
18958539	3b
24219822	1b
19635098	2b
20372153	3b
30510915	1a
19418067	4
28919541	1a
15519775	1a
21196701	2b
18093216	2b
7862960	2b
18413835	1b
17501957	2b
26255764	1b
24327466	4
25432953	1b
25214238	1b
19435690	2b
18785254	1a
25801899	1b
18187997	4
15381613	2b
17329091	1b
25668115	2a
17577032	1b
4027121	1b
28885397	3a
19910139	3b
24621947	1b
18433013	3a
26788476	1b
24633018	3a
20979675	1b
28968482	1a
18590949	2b
27136136	4
26231807	1b
7092368	3b
25712156	3a
23406731	3a
20159826	2b
19430406	2b
15051777	3b
21439076	1a
18839386	4
26051564	2b
4051103	4
9245869	3b
7116298	3b
19402154	2b
22234175	4
24832784	1a
16286128	2b
18423974	1a
1992544	4
29505428	4
17980503	2b
28912919	2b
25864459	4
21480760	4
24006231	1a
20299064	3a
24066010	2b
20101172	2b
18490245	1a
10080594	2a
22019887	3b
29422935	1a
20335820	4
28806348	1b
23720068	3a
15106258	1a
17548243	1a
20238354	1a
27592851	2a
19188061	1b
9738804	4
3693983	4
17941009	4
27834479	3a
27012985	4
19967460	3b
31150123	2a
16418308	1b
19866238	3b
26646130	4
8561204	1a
15003149	1b
21561487	2a
18400281	1b
8407422	4
22027547	1b
18222010	2b
19862820	1b
21683543	3b
21665878	4
18926640	1a
24081940	1b
27500332	3a
10223239	1b
18094299	4
27697568	1a
11338761	2b
21741309	1a
19398572	2b
17005632	4
2325420	4
19669169	2b
25366680	1b
23839751	1b
21931958	1b
27085692	3a
19330830	1b
18281309	2a
17968163	1b
12525193	2b
26735535	3b
28045199	1a
16275937	1b
16703756	3b
12568276	2b
23444228	2b
18325057	3a
29908991	1b
11743286	1a
21505898	1b
18098094	3b
2706108	4
9065644	2b
29122251	1a
21381040	2b
27871836	3a
12128113	2a
20157085	2b
25735803	1b
16965872	2b
6164470	4
17786531	2b
29683474	1a
7857710	4
10093075	3b
18345324	4
31406777	2b
27040598	1a
15577326	2b
16442481	1b
17492334	2b
24035553	3a
11104883	2a
14622451	1b
25474453	2a
23401447	1b
15750359	2b
12767363	2b
728866	4
18375890	1b
15183963	2a
6779562	4
17146474	4
11245451	1b
23736263	4
25474453	2a
21236730	1b
15724014	1b
18300336	2b
3113715	2b
23471208	1b
21447136	1a
26026155	1a
29759571	4
25695690	3a
28387949	2b
10441974	1b
17334785	4
28874596	2b
21199887	2b
12855265	1b
20531007	4
25097628	2b
15713987	2b
19943429	4
11561869	2b
18329117	4
20538188	1a
22526099	3b
15179192	4
29505525	3a
15695472	2b
26449391	1a
16299924	1a
16857310	3a
15727163	2b
24504441	1b
19590619	4
17562639	1b
2086797	3a
20006854	2b
18195339	1a
22914178	4
16172240	2a
14999797	4
22058599	4
28805667	2b
20439642	2b
21289526	2b
27559258	1a
31009859	3a
11586215	3a
26519363	2a
17119028	2a
12126818	1a
17204985	4
19453762	3a
20934270	4
25667293	1b
11254118	1a
28053055	2b
17610989	3b
20531007	4
23497185	1a
19198960	4
18215250	3b
20947887	1b
23093812	4
19397390	3a
2069340	3b
27464609	3a
12660455	2b
28166861	1b
14583759	4
18227703	2b
17003711	4
22313739	1b
27460942	1b
17197122	2b
20197480	1a
28508278	1b
9464624	4
27555604	2b
19730753	1b
30219444	2b
23996654	2b
17949319	3a
17458610	2b
25049329	1b
1548916	2b
19368145	1b
25054915	4
22226512	4
12007762	1b
26254683	1b
19438554	4
19714305	3a
25073788	2a
28666335	2b
16093984	2a
20958972	1b
19591203	3a
26979173	1a
18543329	1b
19758646	2b
11764876	3b
24629998	2a
12882262	2b
7123480	2b
31927541	1a
19619377	2a
8457822	4
20661916	1b
27451318	2a
19690306	1a
26998290	1b
24002495	2b
26748390	3a
19369188	1b
10582932	1b
20083750	4
25090809	4
26356846	3a
20179267	1a
18606510	4
23531280	1b
26748390	3a
16643614	2a
19916970	4
12784232	4
28753932	2b
25956574	3a
25751130	1b
25063010	3a
27764523	1a
7595738	1b
9869229	2b
1834864	1a
20362348	3a
11020090	2b
25060492	1a
12232756	1a
14713325	1b
28770449	1b
18678354	2b
21159106	2b
10640974	2a
14972481	2a
21356604	4
12453546	1b
8626174	2b
16782925	3b
28700428	2a
6788319	1a
26228466	1b
25931440	2b
8915314	4
20194916	2b
7827816	2a
20858661	4
19875337	1b
24173533	2a
20101172	2b
17950521	3a
15128894	1b
18222596	2a
20529139	3a
16841333	2b
21556248	1b
17941009	4
10625141	2a
27177158	3b
26037941	1b
12619055	3b
20156909	2b
26862920	2b
25583258	3a
28059964	1b
1557484	1b
21145730	2b
19332850	2a
18538495	2b
27473841	2a
6199154	4
28353094	3a
9778305	4
21519012	2b
6166512	1b
28940301	2b
24623709	4
12673715	2a
3980269	2a
16278468	2a
29027404	2a
22196979	3a
7644637	4
19318632	1b
26853524	2a
32781573	2a
21571383	1a
17633152	4
11561868	2b
28411330	2b
27529826	1a
10470220	2b
15082198	3a
18213716	3a
20574929	2b
19372711	1b
28700428	2a
9531360	1a
476567	4
17912001	2b
10525943	4
17592291	2b
25638778	2a
16145740	1a
27387830	2a
27058769	2a
10776974	1b
28894706	2b
17846453	1a
21306953	1b
19690548	2b
33175109	3a
15812073	2b
1720156	3a
17701536	3a
18004626	2b
23471977	4
22749632	4
26123090	2a
18029055	3b
1953101	3b
25036880	3a
7776282	3b
21837693	4
21824596	2b
26719105	1a
22367443	2b
26458070	1b
9537209	1b
23884300	3a
24804884	1b
12829141	2b
22039019	4
16750497	1a
20052471	2b
25157942	2b
15829494	4
20922799	2b
19691983	3b
19540075	3a
1858013	4
23107851	1b
17161577	3b
19428297	1a
15541117	2a
28700428	2a
21919119	1a
30810881	2a
21884211	3b
31387468	1a
23659610	3a
24667300	1b
17578466	3a
657098	2b
15020614	4
30905173	1b
25670541	4
17895895	1b
28191337	2b
20965646	2b
19032379	3b
30200193	2b
25752972	1b
28683172	1a
19273778	2b
25361220	1b
25502446	1a
10737490	2a
25853865	2b
20935058	1b
25480826	3a
21542415	3a
23940231	1b
22897437	2b
21708850	2a
16622646	1b
16648499	1a
19415341	2b
23008300	1b
21636244	2b
17163246	1b
28891408	1b
22720894	3b
23720981	1b
17349495	2b
28968482	1a
21331805	2b
28577885	3a
21168113	2b
16280741	3a
20606093	1b
21388835	3a
16511841	1a
30083701	2a
25754629	3a
31225906	3a
16952647	2a
